Idreg,REG,pays,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,Urb1959,Urb1970,Urb1979,Urb1989,Urb2002,Urb2010,1959,1970,1979,1989,2002,2010
LIT00,Lituanie,Lituanie,2711,3128,3391,3675,3476,3329,745.976,1281.414,1767.374,2225.987,2071.947,1998.259,27.5,41,52.1,60.6,59.6,60
MOL00,Moldavie,Moldavie,2884,3569,3950,4335,3628,3564,530.494,880.931,1189.539,1838.481,1573.336,1578.216,18.4,24.7,30.1,42.4,43.4,44.3
OUZ00,Ouzbékistan,Ouzbékistan,8106,11799,15389,19810,25116,27736,2097.002,3205.944,5512.026,7922.884,9176.157,10143.852,25.9,27.2,35.8,40,36.5,36.6
RUS02,Altai,Russie,2683,2670,2675,2631,2810,2626,777.4,1062.344,1234.356,1408.42,1412.201,1369.881,29,39.8,46.2,53.5,50.2,52.2
RUS04,Amour,Russie,718,793,937,1050,903,830,274.777,364.218,490.825,572.379,516.908,486.355,38.3,45.9,52.4,54.5,57.3,58.6
RUS05,Arkhangelsk,Russie,1276,1401,1467,1570,1337,1228,525.24,746.568,881.042,979.861,874.646,847.407,41.2,53.3,60.1,62.4,65.4,69
RUS06,Astrakhan,Russie,702,867,916,992,1005,1010,318.1,468.3,539.5,604.3,627.661,637.803,45.3,54,58.9,60.9,62.4,63.1
RUS07,Bachkirie,Russie,3342,3818,3849,3943,4104,4072,1165.419,1685.503,2044.525,2358.209,2449.378,2461.493,34.9,44.1,53.1,59.8,59.7,60.4
RUS08,Belgorod,Russie,1226,1261,1305,1378,1512,1533,196.486,375.445,592.246,759.55,865.713,906.063,16,29.8,45.4,55.1,57.3,59.1
RUS10,Bouriatie,Russie,673,812,901,1038,981,972,210.9,305.533,391.12,485.643,485.452,510.704,31.3,37.6,43.4,46.8,49.5,52.5
RUS11,Bryansk,Russie,1550,1582,1507,1470,1379,1278,395.742,607.107,736.277,827.895,797.993,758.545,25.5,38.4,48.9,56.3,57.9,59.3
RUS12,Carélie,Russie,651,713,736,790,716,644,237.4,328.8,400.5,469.3,444.467,425.124,36.4,46.1,54.4,59.4,62.1,66.1
RUS13,Daguestan,Russie,1062,1429,1628,1802,2577,2910,306.365,454.6,601.116,738.92,1035.427,1296.729,28.8,31.8,36.9,41,40.2,44.6
RUS140,MoscouX2,Russie,10949,12836,14370,15522,17001,18599,8518,10822,12561,13942,15419,16961,77.8,84.3,87.4,89.8,90.7,91.2
RUS15,Iakoutie,Russie,487,664,839,1094,949,959,86.7,179.649,278.028,410.462,423.741,461.367,17.8,27.1,33.1,37.5,44.6,48.1
RUS167,Tchétchénie-Ingouchétie-Ossetie,Russie,2767,3267,3524,3897,3839,3705,1035.9,1469.508,1792.415,2103.122,2129.762,2120.088,37.4,45,50.9,54,55.5,57.2
RUS17,Irkoutsk,Russie,1976,2313,2560,2825,2582,2429,1001.775,1413.648,1718.55,1989.42,1833.679,1731.313,50.7,61.1,67.1,70.4,71,71.3
RUS18,Ivanovo,Russie,1322,1339,1321,1314,1148,1062,745.6,864.6,915.4,935.5,835.246,783.771,56.4,64.6,69.3,71.2,72.7,73.8
RUS19,Kabardino-Balkarie,Russie,420,588,675,754,901,860,154.7,270.5,355.4,433.7,492.603,453.139,36.8,46,52.7,57.6,54.6,52.7
RUS20,Kaliningrad,Russie,611,732,807,871,955,942,298.6,451.8,545.1,624.7,674.488,668.896,48.9,61.7,67.6,71.7,70.6,71
RUS21,Kalmykie,Russie,185,268,294,323,292,289,34,63.8,84.8,105.5,118.599,118.051,18.4,23.8,28.9,32.7,40.6,40.8
RUS22,Kalouga,Russie,936,995,1007,1064,1042,1011,262.4,418.879,522.929,652.128,703.477,683.676,28,42.1,51.9,61.3,67.5,67.6
RUS23,Kamtchatka,Russie,221,288,378,472,359,322,85.6,177.903,261.997,327.587,263.727,241.979,38.8,61.9,69.2,69.4,73.5,75.1
RUS25,Kemerovo,Russie,2786,2918,2958,3171,2899,2763,1965.633,2247.232,2403.905,2644.954,2385.489,2289.594,70.6,77,81.3,83.4,82.3,82.9
RUS26,Khabarovsk,Russie,1143,1346,1566,1598,1627,1520,668.998,871.504,1063.092,1254.328,1157.146,1107.833,58.6,64.8,67.9,78.5,71.1,72.9
RUS28,Kirov,Russie,1916,1727,1662,1694,1504,1341,530.808,671.727,772.659,873.289,818.999,772.456,27.7,38.9,46.5,51.6,54.5,57.6
RUS29,Komi,Russie,806,965,1118,1251,1019,901,288.075,441.401,592.16,756.597,657.149,608.33,35.7,45.8,52.9,60.5,64.5,67.5
